Vehicle No,Vehicle Name  ,Company  ,Latitude,Longitude,Gps,Branch,Vehicletype,Gpsactualtime,Datetime,Status,Devicemodel,Speed,Imeino,Odometer,Poi,Immobilize State  ,Ign,Driver First Name,Angle,Sos,Externalvolt,Driver Last Name,Power,Location
MH48BM9475,--,MEDICAL DEPT,19.3318283,72.8028099,ON,I,CamperVan,21-10-2024 09:51:58,21-10-2024 09:51:58,STOP,FMB920,0,352592571522754,15371999,--,--,OFF,--,246,--,12.95,--,ON,"JIVDANI MATIMAND SCHOOL, Pachu Bandar Rd, Police Colony, Vasai West, Vasai-Virar, Maharashtra (SW)"
MH48BM7150,--,MEDICAL DEPT,19.3821266,72.833465,ON,H,CamperVan,21-10-2024 09:51:56,21-10-2024 09:51:56,STOP,FMB920,0,352592571522671,4728777,--,--,OFF,--,193,--,12.19,--,ON,"Sai Baba Temple, Near Sai Baba Temple, Samarth Krupa Nagar, Vasai East, Vasai-Virar, Maharashtra (SW)"
MH48BM7152,--,MEDICAL DEPT,19.4289733,72.822535,ON,B,CamperVan,21-10-2024 09:52:01,21-10-2024 09:52:01,RUNNING,FMB920,23,352592572818748,3181153,--,--,ON,--,194,--,14.29,--,ON,"Muncipal Hospital Nallasopara, Vasai virar municipal co.Hospital, Damodar Nagar, Nalasopara East, Nala Sopara, Maharashtra (SW)"
MH48BM7148,--,MEDICAL DEPT,19.4278149,72.8419833,ON,F,CamperVan,21-10-2024 09:52:02,21-10-2024 09:52:02,RUNNING,FMB920,23,352016708028220,3411461,--,--,ON,--,253,--,14.37,--,ON,"Gorai Pada, Gorai Naka, Hawai Pada, Nalasopara East, Bilalpada, Maharashtra (NE)"
MH48BM7003,--,MEDICAL DEPT,19.4471349,72.8768216,ON,F,CamperVan,21-10-2024 09:52:00,21-10-2024 09:52:00,RUNNING,FMB920,24,352592572741387,4707972,--,--,ON,--,177,--,14.49,--,ON,"BP, Wakanpada, Nalasopara East, Nala Sopara, Maharashtra (NW)"
MH48BM7001,--,MEDICAL DEPT,19.3522116,72.8493183,ON,G,CamperVan,21-10-2024 09:51:57,21-10-2024 09:51:57,RUNNING,FMB920,7,352016708084397,4838025,--,--,ON,--,287,--,14.54,--,ON,"Amol Nagar, Naigaon East, Maharashtra (NE)"
MH48BM6897,--,RTSVVMC,19.34236,72.8057833,ON,RTSVVMC,CamperVan,21-10-2024 09:51:55,21-10-2024 09:51:55,STOP,FMB920,0,352592571470525,8293813,--,--,OFF,--,326,--,12.76,--,ON,"Ganpati Mandir, Mathma Gandhi (MG) Road, Koliwada, Vasai West, Vasai-Virar, Maharashtra (SE)"
MH48BM7143,--,MEDICAL DEPT,19.4711633,72.8052816,ON,A,CamperVan,21-10-2024 09:52:01,21-10-2024 09:52:01,RUNNING,FMB920,18,352592571520576,3553804,--,--,ON,--,175,--,13.43,--,ON,"Blu Bar,, Evershine Globle City, Dongarpada, Rustomjee Global City, Virar West, Virar, Maharashtra (NW)"
MH04DD1733,--,SWM,19.42033,72.8045983,ON,E,Crane,21-10-2024 09:52:00,21-10-2024 09:52:00,RUNNING,FMB920,6,352016707303855,9524206,1.95 km from Raj palace masjid,--,ON,--,176,--,13.83,--,ON,"Darul Mamur Masjid, A-2, Sriprastha, Nallasopara, Sriprastha, Nalasopara West, Nala Sopara, Maharashtra (SW)"
MH48AY8101,--,FIRE DEPT,19.4737316,72.8407133,ON,D,Corner Fire,21-10-2024 09:51:48,21-10-2024 09:51:48,IDLE,FMB920,0,352016707607990,1188507,--,--,ON,--,337,--,13.23,--,ON,"Sai Sagar Hotel, Shop No.5, Codai Apt., F Blg., Parmatma park, Virar East, Chandansar, Mumbai, Maharashtra (NE)"
MH48CB0230 Z18,--,SWM,19.3381033,72.8057516,ON,A,Truck,21-10-2024 09:51:52,21-10-2024 09:51:53,RUNNING,FMB920,0,352016706593290,5447894,--,--,ON,--,23,--,14.45,--,ON,"Laxmi Narayan Mandir, bhanda Ali, Koliwada, Vasai West, Vasai-Virar, Maharashtra (SE)"
MH48CB0227,--,SWM,19.415965,72.8542566,ON,F,Crane,21-10-2024 09:52:01,21-10-2024 09:52:01,RUNNING,FMB920,8,352016706666245,7079418,--,--,ON,--,101,--,14.36,--,ON,"Golani Naka, Golani Naka, Vasai East, Waliv, Maharashtra (NW)"
